"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","CUSTOMER REFERENCE","BACKORDER","UNIT PRICE","EXTENDED PRICE"
"1","50","399-C1206C472K5RACAUTOCT-ND","C1206C472K5RACAUTO","CAP CER 4700PF 50V X7R 1206","","0","0.07500","3.75"
"2","20","399-17654-1-ND","C1206C103JBGAC7800","CAP CER SMD 1206 .01UF 630V 5% C","","0","0.72400","14.48"
"3","50","445-5840-1-ND","CGA5L2X7R2A104K160AA","CAP CER 0.1UF 100V X7R 1206","","0","0.13340","6.67"
"4","20","478-12850-1-ND","1206CC223KAT1A","CAP CER 0.022UF 630V X7R 1206","","0","0.53000","10.60"
"5","20","160-1737-1-ND","LTW-150TK","LED WHITE CHIP SMD","","0","0.36900","7.38"
"6","25","283-MCQ1V3216-2R2-RCT-ND","MCQ1V3216-2R2-R","FIXED IND 2.2UH 50MA 500MOHM SMD","","0","0.06480","1.62"
"7","20","4161-CTML1206F-4R7K-ND","CTML1206F-4R7K","4.7UH FER MULTIL SHLD INDUCTOR","","0","0.22000","4.40"
"8","25","2223-DS01-254-L-02BE-ND","DS01-254-L-02BE","DIP SWITCH, SPST, 2.54 PITCH, RA","","0","0.46480","11.62"
"9","10","LM3671MF-3.3/NOPBCT-ND","LM3671MF-3.3/NOPB","IC REG BUCK 3.3V 600MA SOT23-5","","0","1.56500","15.65"
"10","10","AP63205WU-7DICT-ND","AP63205WU-7","IC REG BUCK 5V 2A TSOT26","","0","0.79900","7.99"
